Name,Pos,Bats,Thr,Prev Team,Age,Service Time,2023 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV,,playerid
Shohei Ohtani,DH/SP,L,R,LAA,29,6.000,8.909794331,4.18192158,10,450000000,45000000,20325000,LAD,10,700000000,46078769,,19755
Sonny Gray,SP,R,R,MIN,34,10.061,5.365796566,3.071528912,3,63000000,21000000,20325000,STL,3,75000000,24949117,,12768
Cody Bellinger,CF/1B,L,L,CHC,28,6.160,4.445486546,2.386509418,6,144000000,24000000,20325000,CHC,3,80000000,26666666.67,,15998
Jordan Montgomery,SP,L,L,TEX,31,6.153,4.254640102,2.871536732,5,105000000,21000000,,ARI,2,47500000,23750000,,16511
Blake Snell,SP,L,L,SDP,31,7.072,4.156758785,3.02616787,5,125000000,25000000,20325000,SFG,2,62000000,29698347,,13543
Aaron Nola,SP,R,R,PHI,31,8.076,3.866112709,4.209848404,6,150000000,25000000,20325000,PHI,7,172000003,24571429,,16149
Jeimer Candelario,3B/1B,S,R,CHC,30,6.038,3.238573074,1.332986474,3,36000000,12000000,,CIN,3,45000000,15000000,,13621
Matt Chapman,3B,R,R,TOR,31,6.109,2.994860649,2.660096884,4,80000000,20000000,20325000,SFG,3,54000000,20000000,,16505
Eduardo Rodriguez,SP,L,L,DET,31,8.070,2.971387386,2.248883009,4,76000000,19000000,,ARI,4,80000000,20000000,,13164
Seth Lugo,SP,R,R,SDP,34,7.082,2.881954193,2.028730631,2,26000000,13000000,,KCR,3,45000000,15000000,,12447
Kevin Kiermaier,CF,L,R,TOR,34,9.131,2.8038342,1.231230497,2,20000000,10000000,,TOR,1,10500000,10500000,,11038
Marcus Stroman,SP,R,R,CHC,33,9.026,2.664431095,2.172440052,3,66000000,22000000,,NYY,2,37000000,18500000,,13431
Michael Wacha,SP,R,R,SDP,32,10.062,2.655260563,1.532312155,3,39000000,13000000,,KCR,2,32000000,16000000,,14078
Kyle Gibson,SP,R,R,BAL,36,10.039,2.557749748,2.027911663,1,12000000,12000000,,STL,1,13000000,13000000,,10123
J.D. Martinez,DH,R,R,LAD,36,12.036,2.425765038,0.382925779,1,12000000,12000000,,NYM,1,12000000,8966565,,6184
