playerid,Name,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD
19844,Abraham Toro,115,442,396,95,61,22,2,10,50,44,37,7,82,6,3,0,0,5,2,0.239899,0.0837104,0.18552,0.451219,0.312217,0.381313,0.297952,0.69353,0.141414,4.34414,0.276873,,-0.591553,46.3584,-7.49668,92.2031,-0.591553,0.4,-4.720835567,2.024044663,1.22807,999,,,
10950,Adam Duvall,92,349,318,70,36,16,1,17,41,53,23,3,119,5,3,0,1,2,1,0.220126,0.0659026,0.340974,0.193277,0.280802,0.437107,0.303058,0.717909,0.216981,3.55191,0.286486,,-0.492091,38.0841,-4.43947,86.8867,-0.492091,-1.8,-6.161728263,-0.517665982,0.519643,999,,,
15937,Aledmys Díaz,91,314,289,67,46,16,0,5,26,27,17,9,60,6,2,0,1,1,1,0.231834,0.0541401,0.191083,0.283333,0.286624,0.3391,0.26374,0.625725,0.107266,1.94171,0.274336,,-0.684385,24.0114,-14.2476,68.4895,-0.684385,-5.5,-12.53980273,-2.038800716,-0.390269,999,,,
17678,Alex Bregman,142,624,531,139,87,30,2,20,85,82,80,17,78,8,5,0,2,2,1,0.26177,0.128205,0.125,1.02564,0.363782,0.438795,0.340961,0.802577,0.177024,3.13541,0.27169,,-1.23949,87.7356,11.7048,118.228,-1.23949,0.5,12.38890946,2.792768955,3.62728,999,,,
17027,Alex Verdugo,136,569,516,137,91,30,2,14,76,58,44,11,88,4,5,0,2,4,2,0.265504,0.0773286,0.154657,0.5,0.325132,0.412791,0.31306,0.737922,0.147287,3.90631,0.293556,,-1.03041,66.8179,-2.51143,100.098,-1.03041,2.8,-0.963806331,-3.472046137,1.48479,999,,,
15518,Amed Rosario,141,570,538,139,100,24,6,9,68,63,26,15,103,3,3,0,0,12,2,0.258364,0.045614,0.180702,0.252427,0.294737,0.375465,0.279976,0.670202,0.1171,6.2749,0.30303,,0.67746,51.2739,-18.1773,79.6814,0.67746,-5.3,-13.19970405,0.983068466,0.712295,999,,,
9847,Andrew McCutchen,92,385,330,76,51,16,0,9,43,35,49,6,88,3,3,0,1,5,2,0.230303,0.127273,0.228571,0.556818,0.332468,0.360606,0.303557,0.693074,0.130303,3.16486,0.283898,,-0.591553,42.1723,-4.73775,87.2389,-0.591553,-3,-6.678058028,-7.243827343,-0.0802536,999,,,
14551,Anthony Santander,139,588,531,136,77,32,1,26,74,83,46,12,126,7,4,0,1,3,1,0.256121,0.0782313,0.214286,0.365079,0.321429,0.467043,0.330163,0.788472,0.210923,3.17693,0.287206,,-0.731283,77.401,5.75658,112.19,-0.731283,-0.7,7.856930315,-7.18148154,2.05882,999,,,
12976,Austin Hedges,87,264,232,45,35,6,0,4,21,20,17,8,68,3,3,9,0,1,1,0.193966,0.0643939,0.257576,0.25,0.254902,0.271552,0.221898,0.526454,0.0775862,2.19078,0.251534,,-0.584219,11.0141,-21.1528,36.9571,-0.584219,9.3,-20.52640903,14.15008831,0.258299,999,,,
16153,Austin Slater,123,318,279,66,45,12,1,8,39,33,33,7,89,5,1,0,1,7,2,0.236559,0.103774,0.279874,0.370787,0.327044,0.37276,0.302136,0.699804,0.136201,4.8465,0.31694,,-0.0297455,34.4579,-4.28855,91.4315,-0.0297455,-1.6,-3.405333163,-0.431569695,0.697769,999,,,
12160,Ben Gamel,98,352,306,68,45,15,1,7,37,35,40,5,93,3,2,1,1,3,3,0.222222,0.113636,0.264205,0.430108,0.316239,0.346405,0.29047,0.662645,0.124183,3.28519,0.293269,,-1.30576,34.7316,-8.15751,84.4177,-1.30576,-0.9,-8.100819111,-4.780070424,-0.0885626,999,,,
5343,Brandon Crawford,89,331,296,68,46,13,1,8,35,37,28,6,81,4,3,0,2,3,1,0.22973,0.0845921,0.244713,0.345679,0.302115,0.361486,0.284865,0.663601,0.131757,3.83352,0.285714,,-0.376847,31.1187,-9.21174,78.439,-0.376847,1.1,-9.218142182,4.748589158,0.678849,999,,,
11615,Brandon Drury,122,464,428,104,62,23,2,17,52,63,27,9,116,5,4,0,0,1,1,0.242991,0.0581897,0.25,0.232759,0.293103,0.425234,0.300412,0.718337,0.182243,3.06845,0.29097,,-0.877014,49.6137,-6.92203,87.3497,-0.877014,-4.4,-7.910195231,-2.695120573,0.513965,999,,,
2396,Carlos Santana,107,442,382,83,53,17,0,13,48,51,56,8,83,1,3,0,1,2,1,0.217277,0.126697,0.187783,0.674699,0.316742,0.363874,0.295164,0.680616,0.146597,2.28432,0.242215,,-0.808001,45.3347,-8.52042,86.9242,-0.808001,1,-7.733058512,-7.120223045,0.0158577,999,,,
13620,Carson Kelly,89,301,266,60,39,13,0,8,32,29,29,8,66,3,3,0,1,1,1,0.225564,0.0963455,0.219269,0.439394,0.305648,0.364662,0.284685,0.670309,0.139098,2.1118,0.266667,,-0.707501,28.2532,-8.42193,78.0773,-0.707501,1,-8.61415565,6.529835224,0.8116,999,,,
19252,Cavan Biggio,105,365,312,70,45,16,1,8,49,36,46,3,94,5,2,0,1,4,1,0.224359,0.126027,0.257534,0.489362,0.331507,0.358974,0.305994,0.690481,0.134615,4.48066,0.292453,,-0.338655,40.7201,-3.75302,94.534,-0.338655,-2.1,-2.729171276,-0.758877039,0.888383,999,,,
13419,Christian Walker,131,540,475,118,71,27,1,19,66,71,54,11,115,6,5,0,2,6,0,0.248421,0.1,0.212963,0.469565,0.32963,0.429474,0.321679,0.759103,0.181053,4.11398,0.286127,,0.275385,67.2778,1.4819,100.555,0.275385,6.4,0.646966606,-3.520635128,1.54805,999,,,
12510,Curt Casali,53,155,133,29,20,6,0,3,14,12,17,2,44,3,1,1,1,0,1,0.218045,0.109677,0.283871,0.386364,0.318182,0.330827,0.287777,0.649009,0.112782,1.56098,0.298851,,-0.714873,14.9471,-3.93875,77.6047,-0.714873,-0.1,-5.015263915,2.74758973,0.300471,999,,,
14130,Daniel Vogelbach,107,350,298,68,43,12,1,12,35,47,50,8,89,1,1,0,1,0,1,0.228188,0.142857,0.254286,0.561798,0.34,0.395973,0.317094,0.735973,0.167785,1.85147,0.282828,,-1.08472,42.2732,-0.372263,102.228,-1.08472,0,-0.150467873,-9.002058029,0.272732,999,,,
16535,Danny Jansen,90,305,270,65,35,16,0,14,40,46,27,4,61,6,2,0,1,0,1,0.240741,0.0885246,0.2,0.442623,0.321311,0.455556,0.329595,0.776867,0.214815,1.91191,0.258883,,-0.915206,40.0046,2.84216,110.892,-0.915206,0.8,3.0654881,6.403321564,1.9772,999,,,
2136,David Peralta,103,361,333,84,55,19,3,7,34,40,23,6,74,2,3,0,2,2,1,0.252252,0.0637119,0.204986,0.310811,0.301939,0.39039,0.293489,0.692329,0.138138,3.901,0.301961,,-0.592257,36.5247,-7.46102,82.8479,-0.592257,1.6,-8.263079822,-2.379276872,0.165235,999,,,
