playerid,Name,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD
18655,A.J. Minter,5,4,,3.75602,69,0,,,62.3,258,54,28,26,8,19,1,2,74,10.6902,2.74478,3.89474,1.1557,0.286822,0.0736434,0.213178284,0.227848,1.17175,0.296774,0.728155,,,3.56002,0.717082,0.676356,999,,,
15288,Adam Cimber,3,4,,5.4,50,0,,,45,197,51,29,27,8,12,1,5,30,6,2.4,2.5,1.6,0.152284,0.0609137,0.09137056,0.283333,1.4,0.302817,0.656371,,,5.36615,-0.333605,-0.408667,999,,,
1247,Adam Ottavino,3,4,,4.43255,53,0,,,46.7,208,44,25,23,5,26,2,5,47,9.05782,5.01071,1.80769,0.963597,0.225962,0.125,0.100961536,0.248588,1.49893,0.312,0.714286,,,4.62549,-0.0165843,-0.0427656,999,,,
12718,Adrian Houser,6,6,,4.54455,22,19,,,101,440,103,55,51,12,40,0,4,71,6.32673,3.56436,1.775,1.06931,0.161364,0.0909091,0.070454538,0.260101,1.41584,0.290735,0.697306,,,4.70058,0.864423,0.795942,999,,,
6562,Alex Cobb,6,6,,4.1811,25,25,,,127,567,142,63,59,12,46,0,3,109,7.72441,3.25984,2.36957,0.850394,0.19224,0.0811287,0.111111119,0.274131,1.48031,0.327456,0.73014,,,3.92433,2.0254,1.72771,999,,,
13781,Alex Wood,4,6,,4.5,21,15,,,86,374,86,46,43,10,28,1,9,77,8.05814,2.93023,2.75,1.04651,0.205882,0.0748663,0.131016046,0.255193,1.32558,0.304,0.68,,,4.26667,0.946114,0.635542,999,,,
15423,Andrew Heaney,5,6,,4.9075,24,20,,,102.7,451,104,60,56,19,39,0,7,102,8.93866,3.41772,2.61538,1.66504,0.226164,0.0864745,0.139689572,0.25679,1.39241,0.299296,0.713058,,,5.01746,0.641271,0.693893,999,,,
12828,Andrew Kittredge,4,3,,4.09091,39,2,,,44,185,46,21,20,6,10,1,2,32,6.54545,2.04545,3.2,1.22727,0.172973,0.0540541,0.118918922,0.265896,1.27273,0.296296,0.735294,,,4.3914,0.186072,0.369735,999,,,
13050,Anthony DeSclafani,5,6,,4.87541,18,17,,,92.3,399,99,53,50,15,30,1,2,72,7.02058,2.92524,2.4,1.46262,0.180451,0.075188,0.105263159,0.269755,1.39762,0.3,0.703704,,,4.84767,0.556914,0.553206,999,,,
10233,Aroldis Chapman,4,4,,4.08207,52,0,,,46.3,205,37,22,21,7,29,1,1,71,13.8013,5.63715,2.44828,1.36069,0.346341,0.141463,0.204878047,0.211429,1.42549,0.309278,0.782918,,,4.09737,0.285826,0.384732,999,,,
