playerid,Year,Name,AAV,Position,Age,Bats,Throws,Team,WAR,Games,PAs,HRs,Runs,RBIs,SBs,Walk%,Strikeout%,ISO,BABIP,AVG,On Base%,Slugging%,wOBA,xWOBA,wRC+,Baserunning,Offense,Defense
19844,2024,Abraham Toro,"1,275,000",3B/1B,28,S,R,OAK,0.7,94,364,6,34,26,4,5%,17%,0.11,0.279,0.24,0.293,0.35,0.283,0.293,86.8,0.6,-4.9,-0.1
10950,2024,Adam Duvall,"3,000,000",LF/RF,36,R,R,ATL,-1,104,330,11,29,30,0,6%,30%,0.142,0.227,0.182,0.245,0.323,0.252,0.289,58,-0.3,-16.8,-4.2
15937,2024,Aledmys Díaz,"740,000",3B/2B/1B/SS,34,R,R,HOU,-0.5,14,34,0,2,1,0,3%,26%,0,0.125,0.091,0.118,0.091,0.098,0.213,-41.8,-0.1,-5.7,-0.7
17678,2024,Alex Bregman,"20,000,000",3B,31,R,R,HOU,4.1,145,634,26,79,75,3,7%,14%,0.193,0.264,0.26,0.315,0.453,0.331,0.321,118,-2.3,10.7,8.1
17027,2024,Alex Verdugo,"8,700,000",RF/LF,29,L,L,NYY,0.6,149,621,13,74,61,2,8%,15%,0.123,0.253,0.233,0.291,0.356,0.283,0.304,83.1,-2.5,-14.4,-0.5
15518,2024,Amed Rosario,"1,500,000",2B/3B/SS/RF,29,R,R,CIN,0.3,103,346,3,29,32,13,3%,21%,0.099,0.35,0.28,0.306,0.38,0.299,0.281,96.2,0.7,-1.1,-7.8
9847,2024,Andrew McCutchen,"5,000,000",DH,38,R,R,PIT,0.5,120,515,20,66,50,3,11%,26%,0.179,0.283,0.232,0.328,0.411,0.325,0.331,105.5,-2.9,0.5,-13
14551,2024,Anthony Santander,"11,700,000",RF/LF,30,S,R,BAL,3.3,155,665,44,91,102,2,9%,19%,0.271,0.225,0.235,0.308,0.506,0.345,0.328,129.2,-2.7,19.5,-9.6
12976,2024,Austin Hedges,"4,000,000",C,32,R,R,CLE,0.4,66,146,2,12,15,2,4%,34%,0.068,0.22,0.152,0.203,0.22,0.191,0.164,19.7,-0.7,-14.1,13.2
16153,2024,Austin Slater,"4,000,000",RF/LF/CF,32,R,R,BAL,-0.1,84,212,2,24,18,3,12%,28%,0.056,0.294,0.209,0.321,0.266,0.273,0.302,76.4,-0.8,-6.8,-1.7
12160,2024,Ben Gamel,"1,200,000",RF/LF,33,L,L,HOU,0,38,99,1,22,4,1,18%,24%,0.086,0.339,0.247,0.384,0.333,0.327,0.347,114.5,-0.7,0.9,-4.4
5343,2024,Brandon Crawford,"2,000,000",SS,38,L,R,STL,0.1,29,80,1,5,4,0,10%,33%,0.113,0.25,0.169,0.263,0.282,0.248,0.274,58.1,0.1,-3.9,2.6
11615,2024,Brandon Drury,"8,500,000",2B/1B/3B,32,R,R,LAA,-2.1,97,360,4,28,15,1,8%,23%,0.058,0.21,0.169,0.242,0.228,0.217,0.261,34.4,-1.9,-28.9,-3.3
2396,2024,Carlos Santana,"5,250,000",1B,39,S,R,MIN,3,150,594,23,63,71,4,11%,17%,0.182,0.252,0.238,0.328,0.42,0.326,0.33,114.1,-0.9,8.6,0.8
13620,2024,Carson Kelly,"720,000",C,30,R,R,TEX,1.8,91,313,9,32,37,0,8%,18%,0.135,0.266,0.238,0.313,0.374,0.304,0.317,98.5,-3,-3.5,10.5
19252,2024,Cavan Biggio,"5,010,000",2B/3B/LF/RF,30,L,R,ATL,0.1,78,224,5,27,19,2,11%,32%,0.106,0.288,0.197,0.314,0.303,0.285,0.259,84.4,0.4,-3.6,-2.4
13419,2024,Christian Walker,"10,900,000",1B,34,R,R,ARI,3,130,552,26,72,84,2,10%,24%,0.217,0.287,0.251,0.335,0.468,0.343,0.354,119.2,-3.2,9.4,1.3
12510,2024,Curt Casali,"1,000,000",C,36,R,R,SFG,-0.4,41,125,1,12,8,0,10%,18%,0.056,0.235,0.194,0.293,0.25,0.254,0.269,62.4,-0.2,-5.9,-2.3
14130,2024,Daniel Vogelbach,"2,000,000",DH,32,L,R,TOR,-0.3,31,79,1,5,8,0,11%,22%,0.114,0.231,0.186,0.278,0.3,0.262,0.357,69.4,-0.6,-3.4,-2.4
16535,2024,Danny Jansen,"5,200,000",C,30,R,R,BOS,0.5,94,324,9,35,24,0,12%,19%,0.144,0.227,0.205,0.309,0.349,0.294,0.292,90,-1.1,-4.8,-0.5
2136,2024,David Peralta,"1,000,000",RF/LF,37,L,L,SDP,0.4,91,260,8,35,28,2,8%,21%,0.148,0.316,0.267,0.335,0.415,0.329,0.314,114.9,-0.6,4.1,-8.5
8623,2024,Donovan Solano,"1,000,000",3B/1B/DH,37,R,R,SDP,0.8,96,309,8,31,35,2,7%,21%,0.131,0.346,0.286,0.343,0.417,0.333,0.31,117.5,-3.1,3.3,-6
12155,2024,Eddie Rosario,"740,000",LF/RF/DH,33,L,R,ATL,-2,91,319,10,33,35,9,5%,24%,0.141,0.196,0.175,0.215,0.316,0.23,0.259,44.6,2,-19.1,-11.1
19698,2024,Edward Olivares,"1,350,000",LF/RF,29,R,R,PIT,-0.9,55,196,5,22,23,1,8%,19%,0.109,0.25,0.224,0.291,0.333,0.276,0.331,73.1,0.3,-6,-9.5
