playerid,Year,Name,AAV,Position,Age,Bats,Throws,Team,WAR,Games,PAs,HRs,Runs,RBIs,SBs,Walk%,Strikeout%,ISO,BABIP,AVG,On Base%,Slugging%,wOBA,wRC+,Baserunning,Offense,Defense,Clutch
19844,Career,Abraham Toro,"1,275,000",3B/1B,28,S,R,OAK,0.1,271,934,28,111,108,10,7%,18%,0.143,0.229,0.211,0.282,0.354,0.279,79.6,-2.7,-24.8,-5.7,0.8
10950,Career,Adam Duvall,"3,000,000",LF/RF,36,R,R,ATL,12.1,922,3393,184,427,536,22,7%,29%,0.24,0.271,0.232,0.291,0.472,0.322,97.9,3,-5.3,14.9,-0.2
15937,Career,Aledmys Díaz,"740,000",3B/2B/1B/SS,34,R,R,HOU,8.3,691,2509,78,289,293,15,6%,15%,0.167,0.281,0.261,0.314,0.429,0.317,100.4,-8.8,-7.3,4.9,-0.8
17678,Career,Alex Bregman,"20,000,000",3B,31,R,R,HOU,35.5,966,4198,165,615,588,39,13%,13%,0.213,0.283,0.274,0.373,0.487,0.368,137,-3.1,185.9,24.5,-0.8
17027,Career,Alex Verdugo,"8,700,000",RF/LF,29,L,L,NYY,8.2,651,2559,57,335,255,20,7%,15%,0.147,0.313,0.281,0.337,0.428,0.329,104.9,-1.4,14.3,-15.7,2.8
15518,Career,Amed Rosario,"1,500,000",2B/3B/SS/RF,29,R,R,CIN,8.7,839,3367,60,420,334,96,5%,19%,0.128,0.325,0.272,0.308,0.4,0.304,94.1,18.2,-6.5,-16.8,-0.8
9847,Career,Andrew McCutchen,"5,000,000",DH,38,R,R,PIT,52.1,2007,8641,299,1173,1045,216,12%,19%,0.189,0.315,0.276,0.369,0.465,0.361,128.5,12.5,302.4,-78.7,0.5
14551,Career,Anthony Santander,"11,700,000",RF/LF,30,S,R,BAL,6.2,591,2450,111,292,333,8,7%,21%,0.211,0.273,0.248,0.307,0.459,0.326,108.2,-3.8,19.3,-39.4,-1.4
12976,Career,Austin Hedges,"4,000,000",C,32,R,R,CLE,7.4,687,2213,67,187,223,13,6%,27%,0.133,0.23,0.189,0.246,0.321,0.246,51.8,-4,-134.8,135.9,1.7
16153,Career,Austin Slater,"4,000,000",RF/LF/CF,32,R,R,BAL,6,550,1486,38,186,153,45,10%,28%,0.144,0.347,0.257,0.345,0.402,0.327,107.6,7.8,21.6,-11.7,-0.9
12160,Career,Ben Gamel,"1,200,000",RF/LF,33,L,L,HOU,1.9,685,2221,40,261,200,21,10%,25%,0.131,0.328,0.252,0.332,0.384,0.313,95.5,0.5,-12.2,-44.3,2.1
5343,Career,Brandon Crawford,"2,000,000",SS,38,L,R,STL,30.7,1655,6238,146,669,744,47,9%,20%,0.146,0.295,0.25,0.319,0.396,0.307,95,-3.7,-41.3,139.3,1.9
11615,Career,Brandon Drury,"8,500,000",2B/1B/3B,32,R,R,LAA,7.3,770,2799,105,309,360,4,6%,23%,0.192,0.296,0.254,0.303,0.446,0.319,96.9,-9.6,-21.8,-1.9,0
2396,Career,Carlos Santana,"5,250,000",1B,39,S,R,MIN,25.5,1930,8186,301,995,1011,54,15%,16%,0.19,0.258,0.242,0.356,0.432,0.343,115.7,-17.1,135.2,-160.5,3
13620,Career,Carson Kelly,"720,000",C,30,R,R,TEX,4.1,467,1489,45,158,170,3,10%,21%,0.152,0.254,0.221,0.306,0.373,0.295,82,-4.8,-37.2,29,-2.2
19252,Career,Cavan Biggio,"5,010,000",2B/3B/LF/RF,30,L,R,ATL,6,446,1630,46,231,167,30,14%,27%,0.16,0.298,0.229,0.345,0.389,0.324,104.5,4.6,14,-7.6,-0.6
13419,Career,Christian Walker,"10,900,000",1B,34,R,R,ARI,11.9,702,2718,121,355,359,23,10%,22%,0.212,0.283,0.25,0.329,0.462,0.338,110.8,0.7,36.7,-10.2,0.2
12510,Career,Curt Casali,"1,000,000",C,36,R,R,SFG,4,502,1454,47,145,154,2,11%,28%,0.16,0.281,0.22,0.314,0.38,0.304,88.7,-9,-29,19.7,-0.4
14130,Career,Daniel Vogelbach,"2,000,000",DH,32,L,R,TOR,2.2,571,1878,80,208,238,0,15%,25%,0.19,0.261,0.22,0.342,0.41,0.329,109.5,-13.7,8,-52.1,0
16535,Career,Danny Jansen,"5,200,000",C,30,R,R,BOS,9,409,1380,65,175,196,1,9%,20%,0.211,0.235,0.224,0.308,0.435,0.319,102,-3.7,-2.2,44.6,0.1
2136,Career,David Peralta,"1,000,000",RF/LF,37,L,L,SDP,16,1141,4330,117,491,541,37,7%,19%,0.171,0.326,0.279,0.335,0.45,0.336,108.2,4.9,47.1,-32.3,1.3
8623,Career,Donovan Solano,"1,000,000",3B/1B/DH,37,R,R,SDP,7.1,820,2697,32,248,244,13,6%,19%,0.098,0.337,0.279,0.334,0.377,0.312,96.5,-7.9,-16.6,-1,0.3
12155,Career,Eddie Rosario,"740,000",LF/RF/DH,33,L,R,ATL,12.3,1030,4028,159,533,548,56,5%,20%,0.192,0.299,0.268,0.305,0.46,0.323,101.8,6.8,16.8,-34.2,0.9
19698,Career,Edward Olivares,"1,350,000",LF/RF,29,R,R,PIT,0.2,230,771,24,94,73,15,5%,19%,0.164,0.295,0.261,0.31,0.426,0.317,98.1,-1.1,-3.3,-21.8,-0.4
11680,Career,Elias Díaz,"1,000,000",C,34,R,R,SDP,-0.5,628,2166,56,215,258,2,7%,19%,0.14,0.286,0.249,0.302,0.389,0.3,78,-9.2,-69.1,-8.3,1.2
10472,Career,Enrique Hernández,"4,000,000",3B/2B/SS/OF,33,R,R,LAD,10.2,1057,3503,108,441,393,17,9%,20%,0.17,0.271,0.239,0.311,0.409,0.31,93.7,8.6,-18.7,3.1,1.5
15279,Career,Garrett Cooper,"1,500,000",1B/DH,34,R,R,BOS,4.5,481,1813,56,186,222,1,8%,27%,0.166,0.347,0.268,0.337,0.435,0.334,109.6,-7.7,14.3,-29.7,-0.4
19262,Career,Garrett Hampson,"2,000,000",2B/3B/SS/OF,30,R,R,KCR,0.8,517,1531,29,196,113,57,8%,27%,0.13,0.32,0.241,0.305,0.371,0.294,70.1,12.1,-45.6,1.8,-2.1
10681,Career,Gio Urshela,"740,000",3B,33,R,R,ATL,7.6,664,2370,64,268,280,7,6%,19%,0.146,0.319,0.277,0.322,0.423,0.32,102.9,-9.3,-0.5,-2.5,1.9
16997,Career,Gleyber Torres,"14,200,000",2B,28,R,R,NYY,14,734,3008,123,380,378,49,9%,20%,0.187,0.3,0.267,0.334,0.454,0.338,115.3,-6,49.8,-11.9,0.7
18030,Career,Harrison Bader,"10,500,000",CF,31,R,R,NYM,11.8,635,2108,59,273,217,77,7%,24%,0.153,0.299,0.243,0.31,0.396,0.304,91.5,16.9,-5.1,51,2.6
16219,Career,J.D. Davis,"2,500,000",3B/1B,32,R,R,NYY,7.4,595,1985,68,233,215,7,10%,27%,0.171,0.337,0.261,0.343,0.432,0.335,113.8,-5.3,30.2,-21.2,0.1
6184,Career,J.D. Martinez,"12,000,000",DH,37,R,R,NYM,31.4,1522,6370,315,851,1002,26,9%,25%,0.237,0.34,0.287,0.35,0.524,0.368,131.7,-22.6,220.3,-123.9,-7.9
12859,Career,James McCann,"10,150,000",C,35,R,R,BAL,4.2,853,3074,84,290,342,14,6%,26%,0.138,0.304,0.242,0.294,0.38,0.292,81.8,-13.7,-80.5,17.9,-4.3
4940,Career,Jason Heyward,"5,000,000",RF/LF,35,L,L,HOU,34.5,1703,6642,174,837,681,120,10%,18%,0.152,0.294,0.258,0.339,0.41,0.328,105.3,27.7,67.3,52.3,-3.7
13590,Career,Jesse Winker,"2,000,000",LF/RF/DH,31,L,L,NYM,7.4,610,2267,81,281,266,3,13%,18%,0.18,0.296,0.264,0.369,0.444,0.354,121,-12.5,47.4,-49.3,1.3
13853,Career,Joey Wendle,"740,000",2B/3B/SS,35,L,R,ATL,9.3,649,2300,32,265,219,61,5%,19%,0.123,0.312,0.263,0.312,0.386,0.301,91.6,10.1,-13.9,27.4,3.2
15676,Career,José Abreu,"19,500,000",1B,38,R,R,HOU,27.9,1411,6100,261,759,953,11,7%,20%,0.208,0.322,0.286,0.348,0.494,0.357,128.3,-19.6,183.3,-119.7,-3.2
10231,Career,Jose Iglesias,"1,500,000",2B/SS,35,R,R,NYM,14.5,1096,4043,47,438,366,59,4%,12%,0.103,0.31,0.279,0.319,0.382,0.305,86.9,-4.2,-68.6,76.3,0.1
13145,Career,Josh Bell,"16,500,000",1B,32,S,R,ARI,9.7,1002,4023,152,488,542,4,12%,19%,0.193,0.288,0.26,0.347,0.453,0.341,114.3,-24.1,48,-86.9,-2.5
20123,Career,Juan Soto,"31,000,000",LF/RF,26,L,L,NYY,28.2,779,3375,160,527,483,50,19%,17%,0.24,0.307,0.284,0.421,0.524,0.4,153.5,-6,219.6,-48.5,-3.9
