playerid,Year,Name,AAV,Position,Age,Bats,Throws,Team,IP,WAR,Wins,Losses,Saves,Games,Games Started,ERA,xERA,FIP,xFIP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB%,vFA
18655,2024,A.J. Minter,"6,220,000",RP,31,L,L,ATL,34.1,-0.1,5,4,1,39,0,2.62,3.29,4.45,3.76,9.17,2.88,1.57,0.222,94%,46%,16.70%,94.8
15288,2024,Adam Cimber,"1,650,000",RP,34,R,R,LAA,24.1,0,3,0,0,28,0,7.03,5.52,4.61,5.38,7.03,5.18,0.37,0.284,54%,45%,4.80%,85.3
1247,2024,Adam Ottavino,"4,500,000",RP,39,S,R,NYM,56,0.5,2,2,1,60,0,4.34,3.13,3.67,3.89,11.25,3.7,0.96,0.309,71%,43%,10.00%,93.2
12718,2024,Adrian Houser,"5,050,000",SP,32,R,R,NYM,69.1,-0.1,1,5,1,23,7,5.84,5.2,4.93,5.11,5.84,4.15,1.04,0.3,63%,48%,10.40%,93.8
6562,2024,Alex Cobb,"10,000,000",SP,37,R,R,CLE,16.1,0.3,2,1,0,3,3,2.76,4.87,3.29,3.7,5.51,1.65,0.55,0.271,64%,61%,7.70%,94.6
13781,2024,Alex Wood,"8,500,000",SP,34,R,L,OAK,39.1,-0.1,1,3,0,9,9,5.26,6.64,5.3,5.13,7.55,4.35,1.37,0.366,72%,37%,12.80%,
15423,2024,Andrew Heaney,"12,500,000",SP,34,L,L,TEX,160,2.2,5,14,0,32,31,4.28,4.49,4.04,4.18,8.94,2.31,1.29,0.297,71%,34%,10.80%,91.8
12828,2024,Andrew Kittredge,"2,630,000",RP,35,R,R,STL,70.2,0.3,5,5,1,74,0,2.8,4.05,3.96,3.64,8.53,2.55,1.27,0.263,82%,45%,14.10%,
13050,2024,Anthony DeSclafani,"12,000,000",SP,35,R,R,MIN,,,,,,,,,,,,,,,,,,,
10233,2024,Aroldis Chapman,"10,500,000",RP,37,L,L,PIT,61.2,1.1,5,5,14,68,0,3.79,2.96,3.04,3.14,14.3,5.69,0.73,0.322,69%,45%,10.60%,97.9
12572,2024,Blake Treinen,"8,000,000",RP,37,R,R,LAD,46.2,1,7,3,1,50,0,1.93,2.38,3,3.06,10.8,2.12,0.96,0.255,90%,45%,11.10%,94.2
10061,2024,Brooks Raley,"5,000,000",RP,37,L,L,NYM,7,0.3,1,0,0,8,0,0,3.15,1.88,3.61,11.57,3.86,0,0.154,100%,31%,0.00%,
14814,2024,Buck Farmer,"2,250,000",RP,34,L,R,CIN,71,0.6,3,2,1,61,1,3.04,4.14,4,4.44,8.87,3.68,0.89,0.263,82%,36%,8.60%,92.9
19349,2024,Caleb Ferguson,"2,400,000",RP,28,R,L,HOU,54.1,0.3,1,4,1,62,0,4.64,4.14,3.74,3.55,11.1,4.14,0.99,0.34,67%,47%,13.30%,93.9
10078,2024,Caleb Thielbar,"3,225,000",RP,38,R,L,MIN,47.1,0.2,2,4,3,59,0,5.32,4.11,4.1,4.21,10.08,4.56,1.14,0.331,63%,38%,10.90%,93.2
6632,2024,Carlos Carrasco,"2,000,000",SP,38,R,R,CLE,103.2,0.1,3,10,0,21,21,5.64,4.65,4.93,4.18,7.73,2.86,1.65,0.309,66%,47%,17.00%,91.8
14542,2024,Carlos Estévez,"6,750,000",RP,32,R,R,PHI,55,1.2,4,5,26,54,0,2.45,3.24,3.24,4.09,8.18,1.96,0.82,0.229,75%,33%,6.80%,96.9
4676,2024,Charlie Morton,"20,000,000",SP,41,R,R,ATL,165.1,1.1,8,10,0,30,30,4.19,4.43,4.46,3.99,9.09,3.54,1.25,0.306,74%,46%,15.80%,94.3
12763,2024,Chris Devenski,"100,000",RP,34,R,R,TBR,26.2,-0.7,2,1,0,19,0,6.75,6.12,7.33,5.72,8.1,4.73,3.04,0.253,58%,25%,18.40%,93.2
13896,2024,Chris Flexen,"1,750,000",SP,30,R,R,CHW,160,1.3,3,15,0,33,30,4.95,4.8,4.8,5.03,6.92,3.54,1.35,0.315,71%,36%,10.40%,91.4
11847,2024,Chris Martin,"6,750,000",RP,39,R,R,BOS,44.1,0.9,3,1,2,45,0,3.45,3.29,2.78,2.61,10.15,0.61,1.02,0.353,67%,46%,13.20%,94.9
13649,2024,Clay Holmes,"6,000,000",RP,32,R,R,NYY,63,1.2,3,5,30,67,0,3.14,3.22,3.02,3.01,9.71,3.14,0.57,0.322,71%,65%,11.80%,97.5
19361,2024,Corbin Burnes,"15,637,000",SP,30,R,R,BAL,194.1,3.7,15,9,0,32,32,2.92,3.27,3.55,3.55,8.38,2.22,1.02,0.269,75%,48%,11.60%,
6655,2024,Craig Kimbrel,"13,000,000",RP,37,R,R,BAL,52.1,0.1,7,5,23,57,0,5.33,4.22,4.18,4,12.55,5.33,1.2,0.284,62%,32%,13.00%,94
7115,2024,Daniel Bard,"9,500,000",RP,40,R,R,COL,,,,,,,,,,,,,,,,,,,
